preference_key,movie_title,star_cast,rating,year,place,vote,link
2,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.059154702628629,2015,206,,/title/tt3170832/
3,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.057596191371449,1998,207,,/title/tt0118715/
4,Cuentos de Tokio,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.055410657334413,1953,208,,/title/tt0046438/
1,La pasión de Juana de Arco,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.051464698198888,1928,209,,/title/tt0019254/
2,Contra lo imposible,"James Mangold (dir.), Matt Damon, Christian Bale",8.05028013723951,2019,210,,/title/tt1950186/
3,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.048145631261754,2004,211,,/title/tt0395169/
4,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.046716378252356,1976,212,,/title/tt0075148/
1,Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.043788294835938,1986,213,,/title/tt0091763/
2,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.043591385273444,2007,214,,/title/tt0382932/
3,En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.041038610556704,2015,215,,/title/tt1895587/
4,Logan Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.040606931284154,2017,216,,/title/tt3315342/
1,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.040180349766938,1984,217,,/title/tt0088247/
2,Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.03634823301609,1986,218,,/title/tt0092005/
3,Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.03497122119517,2013,219,,/title/tt1979320/
4,Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.03424930732469,1976,220,,/title/tt0074958/
1,Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.032944023218523,2004,221,,/title/tt0381681/
2,Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.03089182123705,2007,222,,/title/tt0758758/
3,El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.030204138268989,1939,223,,/title/tt0032138/
4,Los mejores años de nuestras vidas,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.02843319864604,1946,224,,/title/tt0036868/
1,El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.026624028868563,1973,225,,/title/tt0070047/
2,Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.026524752567031,1993,226,,/title/tt0107048/
3,Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.025037806561627,2004,227,,/title/tt0317705/
4,Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.024481131003212,1942,228,,/title/tt0035446/
1,El odio,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.024420893843455,1995,229,,/title/tt0113247/
2,Piratas del Caribe: La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.023578110447053,2003,230,,/title/tt0325980/
3,La canción del camino,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.023403326814522,1955,231,,/title/tt0048473/
4,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.02215989955231,2009,232,,/title/tt1028532/
1,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.022155088990884,1966,233,,/title/tt0058946/
2,Las viñas de la ira,"John Ford (dir.), Henry Fonda, Jane Darwell",8.021988582303887,1940,234,,/title/tt0032551/
3,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.021186180692606,2021,235,,/title/tt15097216/
4,Babam ve Oglum,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.02030562527377,2005,236,,/title/tt0476735/
1,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.01947679655885,2000,237,,/title/tt0245712/
2,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.01851173408025,1940,238,,/title/tt0032976/
3,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.017689524316962,2016,239,,/title/tt4016934/
4,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.01767457649582,1967,240,,/title/tt0061512/
1,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.01332750843713,1965,241,,/title/tt0059742/
2,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.013251990464168,1959,242,,/title/tt0053198/
3,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.012454112651556,1934,243,,/title/tt0025316/
4,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.010661025514302,1966,244,,/title/tt0060827/
1,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.008812417767704,1979,245,,/title/tt0079470/
2,El gigante de hierro,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.006145602716014,1999,246,,/title/tt0129167/
3,Historias cruzadas,"Tate Taylor (dir.), Viola Davis, Emma Stone",8.005750403111744,2011,247,,/title/tt1454029/
4,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.003759922189888,1992,248,,/title/tt0103639/
1,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.003142624027676,1975,249,,/title/tt0071411/
2,Danza con lobos,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.001583092956507,1990,250,,/title/tt0099348/
